,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0
0,1,percent,0.037702,11,states,0.035536,31,thing,0.018098,13,program,0.024533,291,contract,0.023857,101,book,0.014601,188,military,0.015813,5,game,0.022308,48,law,0.030529,153,war,0.009922,7,city,0.02616,233,water,0.00781,9,school,0.045649,19,woman,0.044508,290,editor,0.022245,162,lawyer,0.024869,0,company,0.028099,0,company,0.025406,67,police,0.031943,209,require,0.012187,218,father,0.061604,138,music,0.018914,150,vote,0.01887,33,president,0.043594,270,food,0.016181
1,97,rate,0.022457,24,country,0.033379,42,ask,0.012032,49,money,0.020366,39,pay,0.020446,161,art,0.013739,153,war,0.012458,28,team,0.018591,207,rule,0.014723,24,country,0.00932,121,building,0.021372,295,foot,0.007026,58,student,0.033561,6,man,0.029987,139,study,0.013482,17,case,0.02215,34,market,0.021248,265,computer,0.015385,258,kill,0.022845,74,system,0.010652,171,mrs,0.061524,3,play,0.017209,75,political,0.018546,69,executive,0.039014,144,serve,0.009491
2,93,increase,0.018248,12,american,0.024925,87,feel,0.010791,189,care,0.017778,104,deal,0.018588,332,artist,0.008564,15,government,0.011433,3,play,0.018356,2,state,0.014264,823,plane,0.008541,102,area,0.012562,355,mile,0.006713,20,child,0.022496,21,life,0.021804,485,article,0.012784,88,charge,0.019196,140,stock,0.019138,79,sell,0.012332,169,officer,0.016425,464,propose,0.01059,324,son,0.058855,184,film,0.012538,132,campaign,0.017807,157,chief,0.024653,466,restaurant,0.009396
3,152,rise,0.014681,45,world,0.020083,187,really,0.010329,202,health,0.015396,280,agreement,0.015938,70,write,0.008308,4,official,0.011428,40,win,0.015115,27,issue,0.012673,192,history,0.007189,149,build,0.01225,23,place,0.006659,282,class,0.016633,20,child,0.018921,100,drug,0.011436,126,court,0.017666,113,share,0.018295,328,product,0.011547,6,man,0.014886,59,problem,0.010428,433,graduate,0.051599,275,performance,0.011653,253,republican,0.014037,55,director,0.02212,762,dinner,0.008585
4,110,low,0.014605,284,economic,0.017936,18,tell,0.009204,39,pay,0.014665,278,union,0.015909,649,collection,0.007479,12,american,0.010215,53,season,0.014861,109,allow,0.0107,893,religious,0.007004,219,site,0.010974,130,room,0.00637,358,college,0.015169,115,young,0.017834,360,research,0.010886,313,judge,0.015451,79,sell,0.015563,170,industry,0.010712,4,official,0.013726,4,official,0.009805,459,daughter,0.036327,515,audience,0.010809,216,election,0.01344,54,name,0.017656,721,pound,0.008538
5,134,tax,0.012333,15,government,0.017574,99,lot,0.008719,96,provide,0.014388,143,sign,0.014966,462,image,0.006546,84,leader,0.00977,103,player,0.014663,137,decision,0.00993,45,world,0.006821,330,resident,0.010909,229,stand,0.006229,44,family,0.014638,44,family,0.01403,352,doctor,0.010441,404,trial,0.01216,1,percent,0.01526,403,customer,0.010067,558,arrest,0.0124,8,plan,0.009628,564,degree,0.032908,321,movie,0.008421,120,party,0.013307,391,vice,0.016404,918,taste,0.008229
6,47,price,0.012312,465,foreign,0.013798,50,put,0.008288,78,service,0.013689,35,yesterday,0.013985,578,museum,0.006336,63,force,0.009523,25,second,0.012896,30,public,0.009594,12,american,0.006655,52,open,0.009358,581,wall,0.006083,507,teacher,0.012133,380,wife,0.013797,254,cause,0.010209,496,investigation,0.011682,112,buy,0.012498,427,technology,0.009906,268,fire,0.012084,353,proposal,0.00867,252,mother,0.028845,445,stage,0.00835,319,candidate,0.013128,225,chairman,0.015829,741,eat,0.00785
7,312,average,0.012165,196,nation,0.013205,80,question,0.008225,308,benefit,0.011919,226,worker,0.012111,192,history,0.006116,547,peace,0.008373,292,victory,0.009184,477,legal,0.008258,916,german,0.006616,237,street,0.009111,315,walk,0.005893,652,kid,0.011976,252,mother,0.012021,389,patient,0.009417,443,file,0.010805,47,price,0.012309,212,store,0.009706,405,crime,0.009614,180,agency,0.007781,118,receive,0.027645,523,theater,0.008208,84,leader,0.011998,446,staff,0.011476,876,fresh,0.007702
8,86,cost,0.010989,430,international,0.011901,222,happen,0.007961,2,state,0.011793,8,plan,0.0115,262,design,0.005996,11,states,0.008004,228,score,0.008372,17,case,0.008239,484,century,0.006317,82,house,0.00865,476,wear,0.005787,294,parent,0.011887,177,friend,0.012015,22,report,0.008816,722,prosecutor,0.009258,235,bank,0.01211,535,network,0.009433,458,shoot,0.009342,269,test,0.007768,754,marry,0.026303,364,production,0.008194,383,democratic,0.011034,32,member,0.011176,41,add,0.007423
9,91,cut,0.010761,243,trade,0.010512,68,little,0.007842,86,cost,0.01097,214,agree,0.011162,760,exhibition,0.005927,684,troop,0.007103,14,point,0.007995,209,require,0.007759,664,fly,0.006013,318,space,0.008639,82,house,0.005547,636,attend,0.011776,277,love,0.010984,785,treatment,0.008715,677,accuse,0.007887,320,financial,0.012052,36,business,0.008703,35,yesterday,0.009335,13,program,0.007307,1262,ceremony,0.02156,473,dance,0.007981,2,state,0.010348,174,board,0.010916,599,red,0.006917
